id,psgc,type,name
1350614005,,4,Casilagan Norte
1350614006,,4,Casilagan Sur
1350614007,,4,Elefante
1350614008,,4,Guardia
1350614009,,4,Lintic
1350614010,,4,Lopez
1350614011,,4,Montero
1350614012,,4,Naguimba
1350614013,,4,Pila
1350614014,,4,Poblacion
1350615000,,3,Bantay
1350615001,,4,Aggay
1350615002,,4,An-Annam
1350615003,,4,Balaleng
1350615004,,4,Banaoang
1350615005,,4,Barangay 1
1350615006,,4,Barangay 2
1350615007,,4,Barangay 3
1350615008,,4,Barangay 4
1350615009,,4,Barangay 5
1350615010,,4,Barangay 6
1350615011,,4,Bulag
1350615012,,4,Buquig
1350615013,,4,Cabalanggan
1350615014,,4,Cabaroan
1350615015,,4,Cabusligan
1350615016,,4,Capangdanan
1350615017,,4,Guimod
1350615018,,4,Lingsat
1350615019,,4,Malingeb
1350615020,,4,Mira
1350615021,,4,Naguiddayan
1350615022,,4,Ora
1350615023,,4,Paing
1350615024,,4,Puspus
1350615025,,4,Quimmarayan
1350615026,,4,Sagneb
1350615027,,4,Sagpat
1350615028,,4,San Isidro
1350615029,,4,San Julian
1350615030,,4,San Mariano
1350615031,,4,Sinabaan
1350615032,,4,Taguiporo
1350615033,,4,Taleb
1350615034,,4,Tay-Ac
1350616000,,3,Burgos
1350616001,,4,Ambugat
1350616002,,4,Balugang
1350616003,,4,Bangbangar
1350616004,,4,Bessang
1350616005,,4,Cabcaburao
1350616006,,4,Cadacad
1350616007,,4,Callitong
1350616008,,4,Dayanki
1350616009,,4,Dirdirig
1350616010,,4,Lesseb
1350616011,,4,Lubing
1350616012,,4,Lucaban
1350616013,,4,Luna
1350616014,,4,Macaoayan
1350616015,,4,Mambug
1350616016,,4,Manaboc
1350616017,,4,Mapanit
1350616018,,4,Nagpanaoan
1350616019,,4,Paduros
1350616020,,4,Patac
1350616021,,4,Poblacion Norte
1350616022,,4,Poblacion Sur
1350616023,,4,Sabangan Pinggan
1350616024,,4,Subadi Norte
1350616025,,4,Subadi Sur
1350616026,,4,Taliao
1350617000,,3,Cabugao
1350617001,,4,Alinaay
1350617002,,4,Aragan
1350617003,,4,Arnap
1350617004,,4,Baclig
1350617005,,4,Bato
1350617006,,4,Bonifacio
1350617007,,4,Bungro
1350617008,,4,Cacadiran
1350617009,,4,Caellayan
1350617010,,4,Carusipan
